is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,call_external_method,full_name,is_code_smell
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$18,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$19,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$8,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$9,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$4,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$5,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$6,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$7,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$2,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$3,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$23,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$24,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$25,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$26,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$20,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$21,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$22,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$27,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$28,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$29,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$34,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$35,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$36,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$37,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$30,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$31,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$32,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$33,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$38,true
False,False,False,False,False,False,False,com.amaze.filemanager.services.ExtractService$Doback,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.TextReader$4,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.TextReader$3,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.TextReader$2,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.TextReader$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.ColorPref$ColorAdapter,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.SmbStreamer.StreamServer$Response,true
False,False,False,False,False,False,False,com.amaze.filemanager.services.CopyService$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.SmbStreamer.StreamServer$HTTPSession,true
False,False,False,False,False,False,False,com.amaze.filemanager.ui.icons.IconHolder$WorkerHandler,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.AppsList$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.AppsList$2,true
False,False,False,False,False,False,False,com.amaze.filemanager.services.ZipTask$zip,true
False,False,False,False,False,False,False,com.amaze.filemanager.services.CopyService$copy,true
False,False,False,False,False,False,False,com.amaze.filemanager.adapters.AppsAdapter$ViewHolder,true
False,False,False,False,False,False,False,com.amaze.filemanager.adapters.DrawerAdapter$2,true
False,False,False,False,False,False,False,com.amaze.filemanager.adapters.DrawerAdapter$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.ColorPref$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$16,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$15,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$14,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$13,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$12,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$11,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.Futils$10,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.ColorPref$2,true
False,False,False,False,False,False,False,com.amaze.filemanager.adapters.HiddenAdapter$ViewHolder,true
False,False,False,False,False,False,False,com.amaze.filemanager.services.ZipTask$Doback,true
False,False,False,False,False,False,False,com.amaze.filemanager.services.asynctasks.ZipHelperTask$FileListSorter,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$11,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$10,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$13,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$12,true
False,False,False,False,False,False,False,com.amaze.filemanager.adapters.TabSpinnerAdapter$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$2,true
False,False,False,False,False,False,False,com.amaze.filemanager.services.ExtractService$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$5,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$6,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$3,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$4,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$9,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$7,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$8,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$2,true
False,False,False,False,False,False,False,com.amaze.filemanager.services.asynctasks.GenerateMD5Task$2,true
False,False,False,False,False,False,False,com.amaze.filemanager.services.asynctasks.GenerateMD5Task$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$5,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$6,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$3,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$4,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$9,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$7,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$8,true
False,False,False,False,False,False,False,com.amaze.filemanager.services.ZipTask$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.ui.icons.IconHolder$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.ui.icons.IconHolder$2,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.TabFragment$ScreenSlidePagerAdapter,true
False,False,False,False,False,False,False,com.amaze.filemanager.adapters.HiddenAdapter$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.adapters.HiddenAdapter$2,true
False,False,False,False,False,False,False,com.androidemu.nes.EmulatorActivity$4,true
False,False,False,False,False,False,False,com.androidemu.nes.EmulatorActivity$3,true
False,False,False,False,False,False,False,com.androidemu.nes.EmulatorActivity$6,true
False,False,False,False,False,False,False,com.androidemu.nes.EmulatorActivity$5,true
False,False,False,False,False,False,False,com.androidemu.nes.CheatsActivity$1,true
False,False,False,False,False,False,False,com.androidemu.nes.NetPlayService$TCPServerThread,true
False,False,False,False,False,False,False,com.androidemu.nes.NetPlayService$NetThread,true
False,False,False,False,False,False,False,com.androidemu.nes.EmulatorActivity$2,true
False,False,False,False,False,False,False,com.androidemu.nes.EmulatorActivity$1,true
False,False,False,False,False,False,False,com.androidemu.nes.DeviceListActivity$1,true
False,False,False,False,False,False,False,com.androidemu.nes.DeviceListActivity$3,true
False,False,False,False,False,False,False,com.androidemu.nes.DeviceListActivity$2,true
False,False,False,False,False,False,False,com.androidemu.Emulator$1,true
False,False,False,False,False,False,False,com.androidemu.nes.EmulatorActivity$NetWaitDialog,true
False,False,False,False,False,False,False,com.androidemu.Cheats$Item,true
False,False,False,False,False,False,False,com.androidemu.nes.NetPlayService$BluetoothClientThread,true
