is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,full_name
false,false,false,false,false,false,com.amaze.filemanager.utils.Futils$3
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$23
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$24
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$25
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$26
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$20
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$21
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$22
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$27
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$28
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$29
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$34
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$35
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$36
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$37
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$30
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$31
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$32
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$33
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$38
false,false,false,false,false,false,com.amaze.filemanager.services.ExtractService$Doback
false,false,false,false,false,false,com.amaze.filemanager.activities.TextReader$4
false,false,false,false,false,false,com.amaze.filemanager.activities.TextReader$3
false,false,false,false,false,false,com.amaze.filemanager.activities.TextReader$2
false,false,false,false,false,false,com.amaze.filemanager.activities.TextReader$1
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.ColorPref$ColorAdapter
false,false,false,false,false,false,com.amaze.filemanager.utils.SmbStreamer.StreamServer$Response
false,false,false,false,false,false,com.amaze.filemanager.services.CopyService$1
false,false,false,false,false,false,com.amaze.filemanager.utils.SmbStreamer.StreamServer$HTTPSession
false,false,false,false,false,false,com.amaze.filemanager.ui.icons.IconHolder$WorkerHandler
false,false,false,false,false,false,com.amaze.filemanager.fragments.AppsList$1
false,false,false,false,false,false,com.amaze.filemanager.fragments.AppsList$2
false,false,false,false,false,false,com.amaze.filemanager.services.ZipTask$zip
false,false,false,false,false,false,com.amaze.filemanager.services.CopyService$copy
false,false,false,false,false,false,com.amaze.filemanager.adapters.AppsAdapter$ViewHolder
false,false,false,false,false,false,com.amaze.filemanager.adapters.DrawerAdapter$2
false,false,false,false,false,false,com.amaze.filemanager.adapters.DrawerAdapter$1
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.ColorPref$1
false,false,false,false,false,false,com.amaze.filemanager.utils.Futils$16
false,false,false,false,false,false,com.amaze.filemanager.utils.Futils$15
false,false,false,false,false,false,com.amaze.filemanager.utils.Futils$14
false,false,false,false,false,false,com.amaze.filemanager.utils.Futils$13
false,false,false,false,false,false,com.amaze.filemanager.utils.Futils$12
false,false,false,false,false,false,com.amaze.filemanager.utils.Futils$11
false,false,false,false,false,false,com.amaze.filemanager.utils.Futils$10
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.ColorPref$2
false,false,false,false,false,false,com.amaze.filemanager.adapters.HiddenAdapter$ViewHolder
false,false,false,false,false,false,com.amaze.filemanager.services.ZipTask$Doback
false,false,false,false,false,false,com.amaze.filemanager.services.asynctasks.ZipHelperTask$FileListSorter
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$11
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$10
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$13
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$12
false,false,false,false,false,false,com.amaze.filemanager.adapters.TabSpinnerAdapter$1
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$1
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$2
false,false,false,false,false,false,com.amaze.filemanager.services.ExtractService$1
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$5
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$6
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$3
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$4
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$9
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$7
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$8
